  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
 78,          1751,            1673,           3937,       461,         297,        476,       389,           0,        364,          3157,              73,           1545
 79,          1819,            1740,           1806,       461,         279,        305,       397,           0,        327,          3237,              74,           1316
 80,          1824,            1744,           1882,       543,         324,        359,       403,           0,        332,          3318,              74,           1944
 81,          1865,            1784,           3571,       537,         388,        648,       409,           0,        553,          3400,              79,           1250
 82,          1888,            1806,           2030,       476,         334,        345,       415,           0,        338,          3483,              79,           1344
 83,          1939,            1856,           1975,       415,         264,        295,       427,           0,        349,          3567,              79,           1312
 84,          1944,            1860,           2027,       518,         372,        413,       434,           0,        471,          3652,              79,           1371
 85,          1989,            1904,           2404,       460,         312,        402,       441,           0,        358,          3738,              79,           1368
 86,          2016,            1930,           2765,       492,         327,        614,       447,           0,        412,          3825,              81,           1385
 87,          2061,            1974,           2102,       504,         332,        366,       457,           0,        406,          3913,              83,           1722
 88,          2100,            2012,           2426,       557,         373,        382,       463,           0,        446,          4002,              85,           1723
 89,          2136,            2047,           3281,       590,         423,        635,       467,           0,        393,          4092,              84,           1484
 90,          2191,            2101,           2298,       542,         326,        354,       473,           0,        446,          4183,              87,           1763
 91,          2204,            2113,           2356,       570,         417,        402,       487,           0,        392,          4275,              85,           2484
 92,          2218,            2126,           2388,       581,         428,        417,       494,           0,        410,          4368,              88,           1703
 93,          2261,            2168,           2307,       548,         353,        533,       498,           0,        396,          4462,              88,           1695
 94,          2301,            2207,           2589,       575,         377,        391,       501,           0,        695,          4557,              89,           1756
 95,          2309,            2214,           2238,       628,         469,        442,       516,           0,        405,          4653,              92,           1629
 96,          2385,            2289,           2357,       589,         376,        594,       521,           0,        408,          4750,              93,           1692
 97,          2427,            2330,           2334,       556,         347,        366,       529,           0,        407,          4848,              92,           2407
 98,          2523,            2425,           3115,       704,         409,        724,       535,           0,        479,          4947,              90,           2348
 99,          2608,            2509,           3067,       672,         359,        628,       537,           0,        463,          5047,              94,           2557
100,          2670,            2570,           4561,       603,         416,        766,       539,           0,        442,          5148,              97,           2244
