   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
 459,              ,                ,               ,      4366,        2318,       2828,      3486,           0,       2465,        106027,             453,          44965
 460,              ,                ,               ,      4109,        2218,       2528,      3494,           0,       3431,        106488,             453,          45375
 461,              ,                ,               ,      4363,        2600,       2737,      3495,           0,       2468,        106950,             455,          43343
 462,              ,                ,               ,      4562,        2841,       2948,      3510,           0,       2530,        107413,             457,          38830
 463,              ,                ,               ,      5315,        2735,       3075,      3517,           0,       2523,        107877,             460,          39402
 464,              ,                ,               ,      4250,        2307,       3688,      3526,           0,       2566,        108342,             461,          41971
 465,              ,                ,               ,      4719,        2758,       4088,      3534,           0,       2916,        108808,             461,          49716
 466,              ,                ,               ,      5089,        3220,       4236,      3539,           0,       3161,        109275,             460,          43756
 467,              ,                ,               ,      5497,        3620,       3512,      3549,           0,       2686,        109743,             462,          43339
 468,              ,                ,               ,      4276,        2130,       2530,      3561,           0,       3130,        110212,             463,          42211
 469,              ,                ,               ,      4484,        2543,       3605,      3569,           0,       2870,        110682,             461,          45415
 470,              ,                ,               ,      4408,        2515,       2850,      3587,           0,       3244,        111153,             465,          39639
 471,              ,                ,               ,      4437,        2480,       2736,      3590,           0,       2793,        111625,             462,          40520
 472,              ,                ,               ,      4860,        2476,       2918,      3599,           0,       2844,        112098,             464,          41550
 473,              ,                ,               ,      4250,        2385,       2712,      3603,           0,       2695,        112572,             461,          40999
 474,              ,                ,               ,      4213,        2184,       2909,      3621,           0,       2649,        113047,             470,          41639
 475,              ,                ,               ,      4244,        2520,       3603,      3619,           0,       2572,        113523,             468,          42035
 476,              ,                ,               ,      4072,        2332,       3063,      3630,           0,       2676,        114000,             471,          40109
 477,              ,                ,               ,      4722,        2518,       2850,      3641,           0,       2605,        114478,             469,          40022
 478,              ,                ,               ,      5545,        2978,       3517,      3659,           0,       2600,        114957,             469,          71345
 479,              ,                ,               ,      4377,        2488,       5310,      3669,           0,       6170,        115437,             474,         224216
 480,              ,                ,               ,      4395,        2810,      24764,      3675,           0,       8442,              ,                ,               
 481,              ,                ,               ,      4595,        2490,       7951,      3686,           0,       5831,              ,                ,               
 482,              ,                ,               ,      4672,        2699,      20128,      3687,           0,       7681,              ,                ,               
 483,              ,                ,               ,      4843,        3078,      16846,      3687,           0,      10993,              ,                ,               
 484,              ,                ,               ,      5193,        3609,       9413,      3694,           0,       8343,              ,                ,               
 485,              ,                ,               ,      4714,        2824,       8890,      3695,           0,       8226,              ,                ,               
 486,              ,                ,               ,      4960,        3163,       6812,      3713,           0,      13720,              ,                ,               
 487,              ,                ,               ,      5232,        3483,       7404,      3716,           0,      22731,              ,                ,               
 488,              ,                ,               ,      5683,        3962,       4254,      3732,           0,       3329,              ,                ,               
 489,              ,                ,               ,      4683,        2969,       6437,      3742,           0,       4388,              ,                ,               
 490,              ,                ,               ,      4743,        2977,       3010,      3756,           0,       5384,              ,                ,               
 491,              ,                ,               ,      4528,        2573,       3641,      3769,           0,       3051,              ,                ,               
 492,              ,                ,               ,      5239,        3066,       3295,      3779,           0,       5159,              ,                ,               
 493,              ,                ,               ,      4655,        2406,       3689,      3781,           0,       2796,              ,                ,               
 494,              ,                ,               ,      4810,        2987,       3047,      3808,           0,       3955,              ,                ,               
 495,              ,                ,               ,      4569,        2662,       3315,      3812,           0,       3219,              ,                ,               
 496,              ,                ,               ,      4737,        2533,       2878,      3823,           0,       2876,              ,                ,               
 497,              ,                ,               ,      4680,        2841,       3133,      3834,           0,       2703,              ,                ,               
 498,              ,                ,               ,      4580,        2720,       3985,      3829,           0,       2707,              ,                ,               
 499,              ,                ,               ,      4786,        2974,       3073,      3835,           0,       3215,              ,                ,               
 500,              ,                ,               ,      4787,        3108,       3474,      3851,           0,       2945,              ,                ,               
 501,              ,                ,               ,      4936,        3028,       5408,      3848,           0,       2715,              ,                ,               
 502,              ,                ,               ,      5420,        3183,       3703,      3873,           0,       2729,              ,                ,               
 503,              ,                ,               ,      5674,        3570,       4894,      3873,           0,       2802,              ,                ,               
 504,              ,                ,               ,      4659,        2391,       2935,      3880,           0,       2886,              ,                ,               
 505,              ,                ,               ,      4714,        2672,       3100,      3896,           0,       2748,              ,                ,               
 506,              ,                ,               ,      4665,        2398,       2767,      3904,           0,       3165,              ,                ,               
 507,              ,                ,               ,      4606,        2315,       2709,      3911,           0,       2746,              ,                ,               
 508,              ,                ,               ,      4770,        2388,       3033,      3921,           0,       2758,              ,                ,               
 509,              ,                ,               ,      4445,        2426,       3384,      3931,           0,       2815,              ,                ,               
 510,              ,                ,               ,      4717,        2601,       2944,      3937,           0,       2923,              ,                ,               
 511,              ,                ,               ,      5057,        3090,       3195,      3948,           0,       3032,              ,                ,               
 512,              ,                ,               ,      4766,        2751,       2961,      3957,           0,       2991,              ,                ,               
 513,              ,                ,               ,      4691,        2577,       2863,      3966,           0,       2804,              ,                ,               
 514,              ,                ,               ,      6534,        3214,       3951,      3979,           0,       2884,              ,                ,               
 515,              ,                ,               ,      4594,        2529,       3014,      3992,           0,       2833,              ,                ,               
 516,              ,                ,               ,      4753,        2823,       3330,      3990,           0,       2857,              ,                ,               
 517,              ,                ,               ,      5050,        2856,       3115,      4010,           0,       3118,              ,                ,               
 518,              ,                ,               ,      4896,        2568,       2951,      4013,           0,       2965,              ,                ,               
 519,              ,                ,               ,      4670,        2794,       2995,      4008,           0,       2949,              ,                ,               
 520,              ,                ,               ,      4880,        2417,       3863,      4015,           0,       3569,              ,                ,               
 521,              ,                ,               ,      5604,        2212,       3028,      4022,           0,       3764,              ,                ,               
 522,              ,                ,               ,      5423,        2917,       3401,      4059,           0,       2858,              ,                ,               
 523,              ,                ,               ,      5178,        2831,       3403,      4062,           0,       3127,              ,                ,               
 524,              ,                ,               ,      4865,        2764,       4400,      4072,           0,       2890,              ,                ,               
 525,              ,                ,               ,      5314,        3203,       3749,      4081,           0,       2870,              ,                ,               
 526,              ,                ,               ,      4802,        2699,       3968,      4091,           0,       2886,              ,                ,               
 527,              ,                ,               ,      4950,        2491,       2915,      4100,           0,       2964,              ,                ,               
 528,              ,                ,               ,      4964,        2920,       3084,      4108,           0,       4018,              ,                ,               
 529,              ,                ,               ,      5067,        2910,       3238,      4130,           0,       2961,              ,                ,               
 530,              ,                ,               ,      5377,        3458,       3474,      4121,           0,       3549,              ,                ,               
 531,              ,                ,               ,      5749,        3276,       3708,      4131,           0,       3233,              ,                ,               
 532,              ,                ,               ,      5040,        2693,       3098,      4142,           0,       2952,              ,                ,               
 533,              ,                ,               ,      4835,        2510,       3643,      4154,           0,       2942,              ,                ,               
 534,              ,                ,               ,      4599,        2670,       2937,      4154,           0,       2969,              ,                ,               
 535,              ,                ,               ,      5313,        2581,       3129,      4152,           0,       3658,              ,                ,               
 536,              ,                ,               ,      5875,        3540,       3857,      4173,           0,       2950,              ,                ,               
 537,              ,                ,               ,      6297,        4033,       4077,      4180,           0,       3383,              ,                ,               
 538,              ,                ,               ,      5340,        2541,       3528,      4189,           0,       3010,              ,                ,               
 539,              ,                ,               ,      5283,        2950,       3220,      4205,           0,       3169,              ,                ,               
